oligo	Description	freqMAX	powerMAX	powerTOTAL	powerSIGNAL	powerNOISE	SNR	Percentage	phaseMAX	phase_2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	24	25	26	27	28	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
m53850_1	PF13_0275::hypothetical protein::	1	65.42	100.2991967	96.95262625	3.3465704	28.97074158	0.97	-0.155927161	-2.520362542	1.74	2.46644726	2.17651232	4.05563179	3.27822058	2.73069526	3.223	4.17527062	4.76459748	4.41018582	3.114	3.46288114	3.0286014	2.347	2.378110465	2.14934268	1.52678373	1.403	0.79287071	0.625	0.72735453	0.48824749	0.19757304	0.3374734	0.18934585	0.141	0.11982038	0.08606035	0.062	0.07898971	0.08535372	0.0723815	0.06444301	0.08726567	0.13747832	0.11994229	0.22109611	0.26777655	0.34233362	0.40666736	0.7708855	0.85212684	1.1929653	1.12776145	1.3079317	1.5172489
opfl0136	PFL1470c::hypothetical protein::29% identity to 48% of (AL034558) hypothetical protein, FC0265c [Plasmodium falciparum]	1	3.49	8.192374347	6.850408324	1.341966023	5.104755415	0.84	-0.596621061	-2.522284632	1.535	1.60981596	2.02727537	2.35545419	1.49663192	1.49535048	2.343	1.776207	2.21245996	2.23361032	2.386	1.48427622	1.69157414	1.863	2.02960151	1.40875389	1.48732627	1.847	1.53063523	1.756	1.33023209	1.18039905	1.22332891	1.0420091	0.88033525	1.093	0.76135871	0.63379865	0.647		0.49430124	0.54615127	0.57229245	0.6582633	0.70310343	0.55759433	0.64366443	1.02448436	0.83024435	1.21348494	1.213993	1.09182864	1.2825237	1.31915998	1.2802372	1.8320638
b180	PFB0285c::hypothetical protein::100% identity to 100% of hypothetical protein PFB0285c - malaria parasite (Plasmodium falciparum)	1	2.78	6.936083407	5.227359438	1.708723969	3.059218185	0.75	-0.43560311	-2.5222922	1.555	1.71093799	1.61980815	1.82161879	1.70243407	1.83399214	1.414	2.06040013	1.32357155	2.17811687	1.514	1.72176044	2.03900195	1.268	1.263555348	1.20666898	1.35032127	1.18	1.48539888	1.128	0.95865881	1.0793824	1.09161363	1.0843932	1.10246828	0.83	0.86287313	0.76378562	0.73	0.69360492	0.5233778	0.51818571	0.57421609	0.59469939	0.70997731	0.65464683	0.62404049	0.68498198	0.64713566	0.85765101	1.3378203	1.44479617	1.4294916	1.6767429	1.5458519	1.460423
n141_36	PF14_0221::hypothetical protein, conserved::44% identity to 67% of (AE003802) CG6501 gene product [Drosophila melanogaster]	1	6.15	9.683892151	8.316370235	1.367521916	6.081343294	0.86	-0.602184245	-2.523612624	1.146	1.26111941	1.9954159	1.76342819	2.09577179	2.21575676	1.553	2.43103528	1.83504023	2.65135252	1.71	2.41356226	2.60570778	1.626	1.442860615	1.49753106	1.70434214	1.317	1.66798954	1.018	1.18810535	1.23839016	0.82457422	1.0891914	0.99918869	0.768	0.69479179	0.51725859	0.528	0.50703876	0.55995794	0.48199498	0.56267404	0.57422967	0.66480586	0.60886737	0.64366443	0.66705053	0.51634373	0.57480868	0.8461532	1.01675722	0.8381758	0.98220684	0.7691494	0.922851
m43116_3	PF13_0267::hypothetical protein::29% identity to 33% of (AC115593) hypothetical protein [Dictyostelium discoideum]	1	18.16	31.05498319	26.91310178	4.141881419	6.497796305	0.87	-0.604036147	-2.525282658	0.646	0.76945716	0.82667226	1.98354033	2.09698961	2.24619653	2.958	3.0361297	3.56596479	4.47338649	5.381	3.63841283	3.9569737	4.102	2.485862035	1.60733455	1.21002813	1.327	1.08978604	0.873	0.5229893	0.55372129	0.75781438	0.6357615	0.59590663	0.781	0.53752758	0.61138707	0.651	0.52659809	0.3451667		0.36934503	0.3490627	0.44287659	0.30855384	0.34930567	0.46263179		0.23852604	0.7648156	0.16067925	0.771581	0.88937285	0.6432657	0.7330528
l1_101	PFL0175c::hypothetical protein, conserved::37% identity to 90% of hypothetical protein RP848 - Rickettsia prowazekii	1	7.55	13.31547149	10.49100444	2.824467053	3.714330612	0.79	-0.534331616	-2.529765804	1.512	1.85622824	2.01218408	1.78872843	2.03366583	1.79086918	1.719	2.27946559	2.07320514	2.78700302	1.956	2.04571992	2.61709888	1.416	1.419289965	1.29077373	1.15193804	1.445	1.0453721	1.101	0.78309051	0.56120402	0.69646753	0.9772334	1.0180413	1.031	0.79963467	0.81936625	0.643	0.69736633	0.58153086	0.53792611	0.48284165	0.44171514	0.48903002	0.40194402	0.27342656	0.46621807	0.35711881	0.45098365	0.8449391	0.81524964	1.1860761	0.49282258	0.9844105	1.0524138
kn2549_3	PFL0830w::hypothetical protein::27% identity to 82% of hypothetical protein T23F6.4 - Caenorhabditis elegans	1	6.82	13.61529634	11.16673359	2.448562751	4.560525798	0.82	-0.172148219	-2.530804221	1.551	1.84228041	1.61645446	1.6913224	1.98739081	1.63740242	1.423	2.22025875	1.25459489	2.2382348	1.373	1.74886465	2.26112788	1.125	1.064888373	1.27091572	1.38429853	0.862	0.96970394	0.825	0.87691276	0.82403452	0.82547642	0.831688	0.86967941	0.697	0.66234046		0.477	0.56496452	0.37424324	0.34545713	0.41358949	0.48588666	0.50277788	0.4202558	0.52330441	0.68378656	0.58344569	0.76771495	1.1205155	1.30914077	1.2985984	1.81542081	1.6717355	1.3751844
f33526_1	MAL8P1.92::ATPase, putative::34% identity to 78% of CELL DIVISION CYCLE PROTEIN 48 HOMOLOG MJ1156	1	9.56	22.31915185	19.60894115	2.710210699	7.235209116	0.88	-0.147655632	-2.534926547	2.264	2.0398751	2.50349231	2.38707949	2.17492652	2.5493252	1.945	2.09947668	1.75825483	2.06867154	1.78	1.5294498	1.82541921	1.303	1.28123326	1.28726934	1.507055	1.241	1.23865491	1.074	1.11193283	1.10650719	0.86156278	0.8196925	0.7385308	0.728	0.5400238	0.49484701	0.451	0.35883899	0.31046244	0.29199353	0.28374161	0.30165912	0.36922748	0.47336005	0.52199612	0.65629165	0.68921653	1.12876258	1.574549	1.84649422	2.0828094	2.41483072	2.681323	2.2855336
f403_1	MAL7P1.76::hypothetical protein::27% identity to 35% of (AC115593) hypothetical protein [Dictyostelium discoideum]	1	18.53	31.59318897	27.91067668	3.682512296	7.57924874	0.88	-0.298771153	-2.536669825	1.67	1.92131826	2.29975866	2.90826492	2.62184603	2.65459577	2.419	3.47070847	2.51569701	3.42671901	2.286	2.95435512	3.15675084	1.618	1.494210955	1.26974754	1.11028853	1.2	1.06346663	0.836	0.98281108	0.7464013	0.81825912	0.6445582	0.61475925	0.513	0.49093072	0.48140009	0.445	0.36184813	0.32546969	0.2319498	0.23661166	0.24779142	0.27397467	0.21699483	0.27996786	0.41481456	0.50951982	0.53570605	0.9287046	1.12212063	1.1814834	1.99421227	1.8907731	1.7354599
